#,Name (Spell / Description Title),Incantation (Pronunciation Answer),Description,Seen / Mentioned,Difficulty
1,Door-Opening Spell,Aberto,A spell used to open locked doors.,Used by Queenie Goldstein in 1926 to open the door to Percival Graves's office at MACUSA.,Hard
2,Summoning Charm,Accio,"Brings an object directly to the caster, even over long distances.",Used extensively throughout the series; famously used by Harry Potter in 1994 during the Triwizard Tournament to summon his Firebolt.,Medium
3,Age Line,Age Line,Creates a thin golden line on the floor that prevents anyone under a certain age from crossing.,Cast by Albus Dumbledore in 1994 around the Goblet of Fire to prevent underage students from entering.,Medium
4,Water-Making Spell,Aguamenti,"Produces a jet or stream of clean, drinkable water from the wand tip.","Used by Harry Potter in 1997 to attempt to fill Dumbledore's goblet in the Crystal Cave, and to douse Hagrid's burning hut.",Easy
5,Ascension Spell,Alarte Ascendare,Shoots the target high up into the air.,Used by Gilderoy Lockhart in 1992 during the Duelling Club to send a snake flying into the air.,Medium
6,Unlocking Charm,Alohomora,"Unlocks and opens doors, windows, and padlocks that are not heavily protected by dark magic.",Used by Hermione Granger in 1991 to open the locked door on the third-floor corridor at Hogwarts.,Easy
7,Airway-Clearing Spell,Anapneo,Clears the target's airway if they are choking on food or an object.,Cast by Horace Slughorn in 1996 on Marcus Belby when he began choking on a pheasant leg aboard the Hogwarts Express.,Hard
8,Antler Growth Hex,Anteoculatia,A hex that turns the victim's hair into antlers.,Mentioned in 1996 when Pansy Parkinson missed lessons due to growing antlers.,Hard
9,Anti-Cheating Spell,Anti-Cheating Spell,Prevents students from cheating while taking exams.,Cast on parchment and quills before exams at Hogwarts by teachers such as Minerva McGonagall.,Medium
10,Revealing Charm,Aparecium,Forces invisible ink or hidden writing to become visible.,Used by Hermione Granger in 1993 on Tom Riddle's diary in an effort to reveal hidden text.,Medium
11,Tracking Spell,Appare Vestigium,Illuminates recent magical activity and footprints in gold light.,Cast by Newt Scamander in 1927 in Paris to track Tina Goldstein and Credence Barebone.,Hard
12,Apparition,Apparate / Disapparate,Magical method of transportation allowing the caster to instantaneously travel to a destination.,Used frequently by adult witches and wizards throughout the wizarding world.,Easy
13,Water Spout Spell,Aqua Erupto,"Creates a large, powerful jet of water from the wand tip.",Used in various Harry Potter video games and combat scenarios to extinguish large fires.,Hard
14,Spider-Repelling Spell,Arania Exumai,Blasts away giant spiders and acromantulas.,Used by Harry Potter in 1993 in the Forbidden Forest to fend off Aragog's offspring.,Medium
15,Slowing Charm,Arresto Momentum,Decreases the velocity of a moving object or falling person.,Used by Albus Dumbledore in 1993 to save Harry Potter when he fell off his broom during a Quidditch match.,Medium
16,Propulsion Charm,Ascendio,Lifts the caster high into the air.,Used by Harry Potter in 1995 during the Second Task of the Triwizard Tournament to launch out of the Black Lake.,Medium
17,Killing Curse,Avada Kedavra,"Causes instantaneous, painless death. One of the Unforgivable Curses.","Famously used by Lord Voldemort in 1981 against James and Lily Potter, and cast on Harry Potter who survived it.",Easy
18,Bird Transfiguration Spell,Avifors,Transforms inanimate objects or small creatures into a flock of birds.,Featured in Transfiguration lessons at Hogwarts and various spellbooks.,Hard
19,Bird-Conjuring Charm,Avis,"Conjures a flock of small, chirping birds from the tip of the wand.","Cast by Ollivander in 1994 during the Weighing of the Wands, and by Hermione Granger in 1996.",Medium
20,Bat-Bogey Hex,Bat-Bogey Hex,Transforms the target's snot into terrifying bats that fly out of their nose and attack them.,"A signature spell cast frequently by Ginny Weasley, notably on Zacharias Smith on the Hogwarts Express.",Medium
21,White Light Spell,Baubillious,Produces a bright bolt of white light or lightning from the wand tip.,Mentioned in spellbooks as a basic offensive spell.,Hard
22,Exploding Charm,Bombarda,"Creates a small explosion that blows open solid doors, locks, or walls.",Cast by Hermione Granger in 1994 to break Sirius Black out of his prison cell in the West Tower.,Easy
23,Great Exploding Charm,Bombarda Maxima,"An intensified version of Bombarda that creates a devastating, large explosion.",Used by Dolores Umbridge in 1995 to breach the hidden wall of the Room of Requirement.,Easy
24,Bone-Healing Spell,Brackium Emendo,"Intended to heal a broken bone, but if cast improperly removes the bones entirely.","Cast by Gilderoy Lockhart in 1992 on Harry Potter's broken arm, removing all 33 bones from his arm.",Medium
25,Hair-Loss Curse,Calvorio,"Removes all hair from the target, leaving them bald.",Taught in defensive magic classes and listed in dark magic hex guides.,Hard
26,Singing Jinx,Cantis,Forces the victim to burst into uncontrollable song.,Used in various Hogwarts dueling situations and prank books.,Hard
